apk_entry,bytes,width,height,transparent_ratio,opaque_ratio,partial_alpha_ratio,unique_colors_64px,avg_rgb_stddev_64px,score,reasons
res/ay-.png,12907,192,192,0.1623,0.7169,0.1208,968,76.79,4,alpha+square
res/azC.png,5620,192,192,0.165,0.7203,0.1147,359,82.84,4,alpha+square
res/azF.png,21355,193,193,0.1766,0.7075,0.1159,1366,64.55,4,alpha+square
res/b-P.png,23806,192,192,0.1684,0.7133,0.1183,1113,67.11,4,alpha+square
res/b1t.png,8194,192,192,0.165,0.7203,0.1147,443,66.38,4,alpha+square
res/b2N.png,15169,192,192,0.1653,0.7203,0.1144,960,73.31,4,alpha+square
res/b2u.png,12727,192,192,0.165,0.7203,0.1147,1035,76.08,4,alpha+square
res/b4I.png,11527,192,192,0.165,0.7203,0.1147,926,81.38,4,alpha+square
res/b5a.png,13528,192,192,0.165,0.7203,0.1147,1116,71.89,4,alpha+square
res/b5l.png,14643,192,192,0.165,0.7203,0.1147,1084,82.5,4,alpha+square
res/b64.png,11059,192,192,0.1653,0.7203,0.1144,782,85.99,4,alpha+square
res/b7A.png,13441,192,192,0.165,0.7203,0.1147,1220,82.97,4,alpha+square
res/b8P.png,12751,192,192,0.1623,0.7161,0.1216,1105,75.24,4,alpha+square
res/b9q.png,13966,192,192,0.1626,0.7161,0.1212,1010,75.96,4,alpha+square
res/bCC.png,14569,192,192,0.165,0.7203,0.1147,849,80.09,4,alpha+square
res/bDq.png,11655,192,192,0.1653,0.7203,0.1144,931,72.58,4,alpha+square
res/bE-.png,14350,192,192,0.165,0.7203,0.1147,1072,69.39,4,alpha+square
res/bE9.png,14503,192,192,0.165,0.7203,0.1147,1315,80.19,4,alpha+square
res/bFb.png,10067,192,192,0.165,0.7203,0.1147,822,70.4,4,alpha+square
res/bFl.png,11941,192,192,0.1615,0.7203,0.1182,960,55.27,4,alpha+square
res/bIL.png,14351,192,193,0.1675,0.7166,0.116,1065,78.1,4,alpha+square
res/bJI.png,9975,192,193,0.1675,0.7166,0.1159,869,99.5,4,alpha+square
res/bK0.png,10513,192,192,0.1653,0.7203,0.1144,933,91.58,4,alpha+square
res/bKU.png,11220,192,192,0.1653,0.7203,0.1144,969,91.0,4,alpha+square
res/bLA.png,9370,192,192,0.165,0.7203,0.1147,723,101.29,4,alpha+square
res/bOG.png,15479,192,192,0.165,0.7203,0.1147,1152,75.3,4,alpha+square
res/bQb.png,21163,192,192,0.1681,0.7138,0.1181,1357,82.75,4,alpha+square
res/bRt.png,12231,192,192,0.1653,0.7203,0.1144,903,83.0,4,alpha+square
res/bSD.png,10823,192,193,0.1675,0.7166,0.1159,901,99.44,4,alpha+square
res/bSD1.png,16041,192,192,0.1653,0.7203,0.1144,797,81.71,4,alpha+square
res/bSP.png,11246,192,192,0.1653,0.7203,0.1144,662,99.68,4,alpha+square
res/bTW.png,8345,192,192,0.1653,0.7203,0.1144,775,80.27,4,alpha+square
res/bUi.png,13562,192,192,0.165,0.7203,0.1147,968,83.52,4,alpha+square
res/bVa.png,13585,192,192,0.1615,0.7203,0.1182,1014,61.65,4,alpha+square
res/bZM.png,11990,192,192,0.1653,0.7203,0.1144,1126,86.64,4,alpha+square
res/b_Q.png,13498,192,192,0.165,0.7202,0.1148,1131,65.62,4,alpha+square
res/bb9.png,16273,192,192,0.1623,0.7161,0.1216,1104,88.45,4,alpha+square
res/bbV.png,13755,192,192,0.165,0.7203,0.1147,1056,66.42,4,alpha+square
res/bbk.png,13574,192,192,0.165,0.7203,0.1147,932,70.75,4,alpha+square
res/bcq.png,13687,192,192,0.1653,0.7203,0.1144,1125,89.97,4,alpha+square
res/bdM.png,15778,192,192,0.165,0.7203,0.1147,1071,80.98,4,alpha+square
res/bfi.png,17530,192,192,0.1649,0.7203,0.1148,1434,78.31,4,alpha+square
res/bj5.png,12842,192,192,0.1653,0.7203,0.1144,829,76.43,4,alpha+square
res/bjZ.png,14127,192,193,0.1674,0.7166,0.116,1085,76.68,4,alpha+square
res/bjz.png,14843,192,192,0.1653,0.7203,0.1144,1017,75.79,4,alpha+square
res/bkL.png,20390,256,256,0.1644,0.7187,0.117,1246,61.88,4,alpha+square
res/bkw.png,11053,192,192,0.165,0.7203,0.1147,959,76.8,4,alpha+square
res/bnz.png,13812,192,192,0.165,0.7203,0.1147,1318,61.9,4,alpha+square
res/boT.png,15698,192,192,0.165,0.7203,0.1147,1068,86.14,4,alpha+square
res/boX.png,10631,192,192,0.165,0.7203,0.1147,777,87.5,4,alpha+square
res/bre.png,14829,192,192,0.1623,0.7161,0.1216,1113,71.45,4,alpha+square
res/bsA.png,16883,288,288,0.1656,0.7214,0.1131,967,89.69,4,alpha+square
res/bt0.png,17224,192,192,0.165,0.7203,0.1147,1554,61.74,4,alpha+square
res/bt9.png,17070,192,192,0.165,0.7203,0.1147,1312,71.52,4,alpha+square
res/btY.png,19950,192,192,0.1623,0.7161,0.1216,1344,79.68,4,alpha+square
res/buK.png,11784,192,192,0.1653,0.7203,0.1144,1078,82.53,4,alpha+square
res/bug.png,16222,192,192,0.1653,0.7203,0.1144,1699,92.3,4,alpha+square
res/buk.png,9978,192,192,0.1653,0.7202,0.1145,809,74.68,4,alpha+square
res/bv-.png,14772,192,192,0.1653,0.7203,0.1144,1341,86.77,4,alpha+square
res/bw8.png,10573,192,192,0.165,0.7203,0.1147,733,78.62,4,alpha+square
res/bxr.png,12627,192,193,0.1675,0.7166,0.1159,1094,74.74,4,alpha+square
res/byE.png,19292,192,192,0.1681,0.7136,0.1183,963,74.85,4,alpha+square
res/byj.png,11462,192,192,0.1626,0.7161,0.1212,915,84.27,4,alpha+square
res/bzO.png,14416,192,192,0.1615,0.7203,0.1182,993,62.91,4,alpha+square
res/bzn.png,13220,192,192,0.165,0.7203,0.1147,1051,83.08,4,alpha+square
res/bzt.png,11301,192,192,0.1653,0.7203,0.1144,921,74.54,4,alpha+square
res/c-z.png,6785,192,192,0.1623,0.7161,0.1216,456,102.53,4,alpha+square
res/c0P.png,15644,192,192,0.1653,0.7203,0.1144,988,98.52,4,alpha+square
res/c0j.png,12622,256,256,0.1644,0.7191,0.1166,614,84.41,4,alpha+square
res/c0u.png,12108,192,192,0.1653,0.7203,0.1144,858,79.71,4,alpha+square
